flag_id,creator,event_name,fight,ambiguity_reason,raw_excerpt,suggested_winner,confidence_in_suggestion,manually_resolved,resolved_winner
flag_0001,mma_guru,UFC Fight Night: Magny vs. Prates,Elizeu Zaleski dos Santos vs Zachary Scroggin,"Creator uses nickname 'Nicholas daby' which does not clearly map to either fighter on the card. Transcript context suggests picking the high-output fighter, but the alias is ambiguous.",I'm gonna go Nicholas daby... putting him up against the cage,Zachary Scroggin,medium,False,
flag_0002,mma_guru,UFC Fight Night: Barboza vs. Murphy,Alatengheili vs Kleydson Rodrigues,Creator uses nickname 'Helen'/'Heen' for Alatengheili; no explicit canonical name match in transcript for this specific fight,I'm actually going to go with Helen here...more consistent overall,Alatengheili,medium,False,
flag_0003,mma_joey,UFC Fight Night: Yan vs. Figueiredo,Shi Ming vs Feng Xiaocan,"Creator refers to 'shaan fun' which maps to Feng Xiaocan based on context, but the phrasing is unclear and potentially indicates confusion with fighter names given the garbled pronunciation attempts throughout",I think shaan can beat her anywhere...I'm going to pick shaan fun...to win via decision,Feng Xiaocan,medium,False,
flag_0004,mma_joey,UFC Fight Night: Magny vs. Prates,Elizeu Zaleski dos Santos vs Zachary Scroggin,Transcript refers to 'Nicholas Doby' but fight card lists 'Zachary Scroggin'. Names do not match. Creator may be referencing wrong fight or mislabeling fighter.,I'm going Nicholas Doby via decision... doby's 39 but I the Dolby that I've seen in the last couple fights,Zachary Scroggin,medium,False,
flag_0005,mma_joey,UFC Fight Night: Burns vs. Brady,Cody Durden vs Matt Schnell,"Card lists Cody Durden vs Matt Schnell, but transcript only discusses Matt Schnell vs Alessandro Costa (not on provided fight card). This is a mismatch between card and transcript content.",I'm gonna say second round KO early second round KO for Costa,Alessandro Costa,high,False,
flag_0006,mma_joey,UFC 297: Strickland vs. Du Plessis,Jasmine Jasudavicius vs Priscila Cachoeira,Creator's statement 'I almost want to switch my pick' and 'wouldn't shock me if Priscilla wins' appears in context of a different fight (Gordon). Unclear if this applies to Cachoeira fight.,I almost want to switch my pick to malol Gordon now that he missed weight... wouldn't shock me if Priscilla wins,Priscila Cachoeira,low,False,
flag_0007,mma_joey,UFC 297: Strickland vs. Du Plessis,Jimmy Flick vs Malcolm Gordon,"Creator expresses wanting to switch to Gordon after learning he missed weight by 1.5 lbs, but the final pick is unclear. The phrase 'I almost want to switch' suggests uncertainty.",Malcolm Gordon missed weight I think I did see that him putting the mouth Garden I almost want to switch my pick to malol Gordon,Jimmy Flick,medium,False,
flag_0008,lucas_tracy_mma,UFC 308: Topuria vs. Holloway,Kennedy Nzechukwu vs Chris Barnett,Creator discusses 'Justin Tafa vs Kennedy Nzechukwu' extensively but card lists 'Chris Barnett vs Kennedy Nzechukwu'. Creator appears to have discussed wrong fight entirely.,I think Kennedy Nuku is going to take down Justin TAA and submit him...Kennedy is going to get it done by submission,Kennedy Nzechukwu,medium,False,
flag_0009,lucas_tracy_mma,UFC 303: Pereira vs. Prochazka 2,Diego Lopes vs Dan Ige,Creator discusses 'Diego Lopez vs Brian Ortega' but the card shows 'Diego Lopes vs Dan Ige'. The names and context don't match. This appears to be a discussion of a different fight or a name mismatch that cannot be reliably resolved.,I'm going to pick Diego Lopez to knock out Brian Ortega in the first round brutally okay I think he's going to brutally K with an uppercut,Diego Lopes,high,False,
flag_0010,mma_guru,UFC Fight Night: Garcia vs. Onama,Seokhyeon Ko vs Phil Rowe,Creator uses 'Song Yadong KO' which does not match 'Seokhyeon Ko' on card. Unclear if this is a nickname/alias or different fighter entirely.,Creator discusses 'Song Yadong KO' vs 'Philip Rowe' - names do not match card fighters,,not_found,False,
flag_0011,mma_guru,UFC 321: Aspinall vs. Gane,Mitch Raposo vs Azat Maksum,Creator refers to 'Azamat Maxim' but fight card lists 'Azat Maksum' as opponent to Raposo. Unclear if these refer to same fighter or different person. Creator also discusses 'Mitrione Vusa' as opponent but fight card has 'Mitch Raposo'.,I'm going to go with Azamat Maxim...I think he can get down Mitrione Vusa,Azat Maksum,medium,False,
flag_0012,mma_guru,UFC Fight Night: De Ridder vs. Allen,Yousri Belgaroui vs Azamat Bekoev,Creator refers to 'Azamat Murzakanov' throughout but fight card lists 'Azamat Bekoev'. Name mismatch suggests possible fighter ID confusion or caption error.,I'm going to have to side with the experience of Azamat Murzakanov... I'm going to go with Azamat Murzakanov getting this one done... by first-round finish to ground and pound.,Azamat Bekoev,medium,False,
flag_0013,mma_guru,UFC Fight Night: De Ridder vs. Allen,Melissa Croden vs Tainara Lisboa,Creator uses name 'Taila Santos' but fight card lists 'Tainara Lisboa'. Alias table does not list 'Taila Santos'. Possible caption/name mismatch.,I'm going to go with Taila Santos. She was a kickboxer... I'm going to have to lean towards Taila Santos for sure.,Tainara Lisboa,medium,False,
